rpm,load_nm,temperature_c,stator_slots,rotor_poles,air_gap_mm,nvh_db
4306,80.3,118.8,48,8,1.44,100.0
4635,51.5,110.7,36,6,1.19,100.0
4388,54.3,95.2,24,10,1.05,100.0
2840,28.5,53.6,48,4,0.47,100.0
2394,46.3,35.3,18,4,0.8,100.0
1010,25.2,62.0,48,4,1.33,100.0
5216,46.0,20.6,24,8,1.2,100.0
3932,64.8,93.5,48,6,0.89,100.0
2735,52.6,22.9,24,10,1.17,100.0
5597,64.3,110.7,48,4,0.4,100.0
4011,16.7,66.2,12,8,0.75,100.0
3605,33.8,115.1,36,8,1.3,100.0
4352,2.8,73.9,24,6,1.08,100.0
754,114.0,39.9,12,6,0.59,79.47
4379,80.5,76.4,18,10,1.14,100.0
5474,115.7,91.8,18,8,0.43,100.0
710,111.5,77.6,36,10,1.43,85.42
5638,29.5,89.7,24,4,1.26,100.0
5136,94.0,54.7,36,8,0.38,100.0
3941,98.8,30.6,24,10,1.15,100.0
4067,21.5,72.2,24,10,0.86,100.0
3140,102.3,103.1,12,8,1.36,98.54
2497,90.2,77.0,36,8,0.33,100.0
2237,42.9,45.8,24,8,0.97,100.0
4732,113.8,28.6,36,10,0.97,100.0
4520,54.1,21.7,24,6,0.79,100.0
2493,37.1,78.2,36,8,0.81,100.0
4217,32.9,45.1,12,6,0.68,100.0
4889,114.1,89.0,18,6,1.19,100.0
4797,71.8,118.1,18,8,0.57,100.0
1969,36.6,90.8,18,8,0.35,92.81
1534,76.7,95.3,12,4,0.99,97.11
4345,57.7,54.1,12,8,1.43,100.0
3782,59.3,77.7,12,6,0.48,100.0
5110,113.9,28.5,18,4,0.97,100.0
5566,27.5,72.3,36,10,0.66,100.0
5321,118.8,50.5,48,4,1.03,100.0
2202,75.2,46.5,12,6,0.59,95.23
5021,9.5,20.3,36,10,0.65,100.0
4219,9.0,43.3,24,6,0.81,100.0
4961,27.4,34.9,24,6,0.39,100.0
5162,110.6,63.9,36,8,1.14,100.0
2730,60.3,69.4,12,4,1.37,100.0
711,11.4,116.2,48,4,1.5,100.0
2707,69.4,96.3,18,10,0.92,97.04
5295,52.6,101.4,12,10,0.72,100.0
3230,38.9,30.5,18,8,0.79,100.0
3780,97.7,75.0,36,4,0.68,100.0
3148,14.4,97.3,48,4,1.09,100.0
2036,62.5,82.3,36,10,1.21,100.0
2167,32.4,33.1,24,10,1.36,96.15
5661,73.3,43.9,18,8,0.96,100.0
5024,49.3,42.5,12,10,1.44,100.0
2890,61.3,47.3,36,10,0.59,100.0
5015,17.8,39.1,48,6,1.34,100.0
3899,41.1,98.8,24,4,0.64,100.0
2945,100.6,78.0,36,6,0.84,100.0
4951,45.6,113.3,18,6,0.99,100.0
2413,102.8,61.1,24,10,1.15,100.0
5936,95.2,85.2,18,10,1.46,100.0
1534,60.5,79.0,12,10,0.42,75.13
1680,49.5,85.5,18,4,0.86,100.0
2671,41.0,89.3,12,8,1.32,86.63
3094,75.4,108.7,36,4,1.04,100.0
2423,75.9,112.1,18,4,0.82,100.0
1323,53.5,89.4,12,4,0.69,90.59
959,35.6,57.5,18,6,0.94,76.11
1892,21.4,80.9,36,6,0.9,100.0
5277,17.6,66.1,24,10,0.61,100.0
2856,81.5,35.8,36,8,1.49,100.0
2950,76.9,62.4,24,10,1.31,100.0
4458,13.2,58.1,24,8,1.49,100.0
2918,3.1,103.0,36,8,0.31,100.0
901,109.3,94.5,24,6,1.03,91.49
3386,26.7,39.0,24,6,1.05,100.0
3030,94.7,23.3,24,6,0.41,100.0
2917,39.5,61.6,18,6,1.24,100.0
4610,109.7,103.0,24,10,1.46,100.0
2917,89.7,53.9,12,10,1.46,93.17
3755,116.1,100.5,24,4,1.25,100.0
614,32.1,32.4,24,8,1.0,72.31
1387,81.1,67.1,48,8,1.4,100.0
2313,77.9,83.5,36,8,1.08,100.0
804,36.9,69.3,12,6,1.36,66.82
1611,46.9,57.1,48,10,1.0,100.0
5865,12.3,68.9,36,8,0.34,100.0
3535,26.5,64.5,18,8,0.42,100.0
5782,43.4,59.8,18,4,1.44,100.0
4225,11.5,41.2,48,4,0.36,100.0
5125,25.0,103.0,48,6,1.0,100.0
2408,39.8,34.8,48,4,0.63,100.0
4925,30.5,37.4,12,6,0.32,100.0
2449,70.9,21.6,24,4,0.45,100.0
1020,57.4,97.8,48,4,0.84,100.0
2314,113.5,24.3,48,8,0.85,100.0
4423,101.8,62.6,12,10,1.15,100.0
4133,9.3,28.1,48,6,0.38,100.0
4992,85.6,58.1,48,8,0.84,100.0
5459,51.9,99.3,12,6,0.82,100.0
4215,48.1,93.0,24,10,0.68,100.0
2588,45.2,35.3,36,4,0.41,100.0
3552,97.5,75.6,48,8,1.1,100.0
3865,42.8,86.5,36,4,1.46,100.0
5234,61.1,35.5,36,6,1.32,100.0
3368,101.5,56.8,24,6,1.27,100.0
5593,73.8,84.3,12,8,0.33,100.0
2738,84.5,50.9,24,8,0.31,100.0
3783,8.8,94.1,12,4,1.2,100.0
2262,45.5,65.4,18,8,0.67,96.87
5384,10.7,25.3,18,4,1.11,100.0
2729,53.5,62.4,48,10,0.8,100.0
3327,51.9,48.3,48,10,0.93,100.0
3026,5.9,59.5,48,4,0.31,100.0
1624,91.8,48.9,12,4,0.9,100.0
4027,21.5,58.0,18,8,0.39,100.0
653,55.4,27.8,24,10,0.99,72.01
5744,50.4,31.5,12,8,0.51,100.0
3464,11.0,104.4,18,10,1.01,98.6
4792,9.9,107.1,24,6,0.7,100.0
1434,63.9,39.4,24,8,1.17,96.02
5787,97.9,43.6,18,8,0.54,100.0
5869,9.5,115.1,36,10,1.21,100.0
5247,54.1,112.4,48,8,1.34,100.0
1059,56.5,83.1,24,4,0.72,100.0
1107,37.6,65.2,12,8,1.3,70.14
1239,74.0,70.7,36,4,0.84,100.0
5183,78.4,52.2,36,6,1.45,100.0
3313,117.9,28.4,18,4,0.6,100.0
4086,118.9,72.4,48,6,0.74,100.0
3271,81.6,25.2,24,4,0.7,100.0
5070,81.6,48.4,48,6,0.7,100.0
3365,37.6,85.6,36,6,1.01,100.0
1194,37.5,57.7,24,6,1.1,94.65
4812,11.7,87.0,48,8,0.32,100.0
3030,22.0,41.4,36,6,0.57,100.0
1328,61.2,74.0,48,4,1.09,100.0
5562,16.2,57.7,18,6,1.3,100.0
1856,86.7,24.4,24,6,1.46,100.0
5501,34.5,94.9,36,6,0.94,100.0
4342,108.5,39.4,48,10,0.85,100.0
2808,93.5,70.3,36,6,1.28,100.0
2548,6.7,68.1,24,4,1.15,100.0
4726,102.2,48.5,18,8,0.84,100.0
1251,113.6,42.2,36,8,1.42,100.0
3898,6.9,70.2,18,10,1.49,100.0
1311,100.8,85.0,18,6,0.35,98.01
4370,83.7,33.9,36,10,1.04,100.0
2266,100.3,74.9,48,10,0.43,100.0
2860,28.9,32.2,18,10,1.07,96.27
4594,71.8,21.6,48,6,1.16,100.0
2886,51.8,81.5,18,10,0.52,99.23
3454,8.6,72.6,48,4,0.77,100.0
4351,5.7,58.7,24,8,1.2,100.0
2475,88.1,82.8,48,8,0.46,100.0
3386,65.7,101.4,18,10,1.48,100.0
1604,8.0,97.6,36,4,0.65,100.0
858,95.0,108.6,24,8,0.92,84.56
2575,4.9,84.7,24,8,1.33,100.0
891,104.0,53.2,12,8,0.82,75.98
3667,41.0,38.7,36,8,1.41,100.0
4753,32.4,28.3,36,4,0.82,100.0
2906,38.9,28.0,24,8,0.84,100.0
3990,20.4,64.4,36,4,1.17,100.0
4063,33.3,118.0,12,4,1.11,100.0
3827,43.9,100.1,18,4,0.47,100.0
785,15.6,43.6,24,8,0.76,70.99
5146,4.4,35.3,36,8,0.75,100.0
4837,44.4,51.4,24,6,1.45,100.0
712,88.4,69.9,36,4,0.61,100.0
5512,34.6,111.6,36,6,0.45,100.0
1106,54.5,109.9,36,4,1.27,100.0
5970,42.0,26.5,48,8,1.37,100.0
1790,85.6,112.7,18,8,0.91,93.68
1637,28.8,69.4,24,8,0.86,94.21
5019,16.0,108.4,12,8,0.78,100.0
3865,92.4,102.3,12,6,1.47,100.0
5762,9.4,66.6,48,8,0.45,100.0
5315,22.2,116.6,36,4,1.3,100.0
4744,18.8,36.5,24,6,0.72,100.0
1146,30.4,83.5,48,8,0.45,100.0
2980,73.9,29.3,18,6,0.51,100.0
3265,101.2,76.4,12,4,0.35,100.0
5754,92.6,46.5,18,10,1.04,100.0
4969,35.1,115.7,36,6,1.27,100.0
3826,36.0,27.3,12,6,0.83,100.0
5469,17.7,106.1,24,8,1.47,100.0
1571,91.4,71.5,12,8,0.59,84.78
1654,12.1,49.0,36,10,0.6,100.0
1808,97.7,113.4,24,6,1.22,100.0
4585,105.5,69.7,12,10,0.91,100.0
2472,26.2,55.3,12,8,0.89,85.77
4355,34.6,20.8,12,10,0.46,99.58
2666,87.4,96.4,24,4,0.78,100.0
5032,35.0,58.6,36,8,1.29,100.0
5605,81.8,31.9,12,10,0.75,100.0
3495,90.7,39.9,48,10,0.9,100.0
871,5.2,91.4,36,10,0.48,76.52
5522,38.6,59.3,48,8,1.01,100.0
4655,99.5,73.2,48,8,0.87,100.0
1397,117.6,78.4,12,10,0.62,81.84
5870,94.1,97.6,48,6,1.17,100.0
5652,86.7,97.5,36,6,1.29,100.0
2484,4.3,114.8,12,6,0.32,89.48
2170,49.5,97.5,36,4,1.15,100.0
4749,25.3,52.5,36,10,0.68,100.0
3304,65.8,87.6,24,10,0.53,100.0
2519,33.8,49.8,24,8,1.15,100.0
4430,42.2,113.4,24,8,0.45,100.0
4949,45.9,118.0,24,6,0.65,100.0
3337,110.9,85.6,36,6,0.54,100.0
4912,32.9,76.2,24,6,0.43,100.0
915,80.5,73.1,18,4,0.42,95.25
3205,86.2,30.1,18,4,1.46,100.0
5848,112.2,107.8,36,6,1.21,100.0
2853,38.9,84.6,12,6,0.94,99.95
1934,50.4,103.8,12,10,1.25,69.63
2026,112.4,116.2,24,4,0.31,100.0
3244,34.5,118.9,48,10,1.37,100.0
1599,102.2,66.8,18,4,0.7,100.0
2025,2.2,53.7,24,6,0.51,100.0
5732,107.7,102.7,48,8,0.4,100.0
1651,57.6,113.6,12,8,0.76,75.81
4159,90.6,115.4,24,4,0.61,100.0
5970,14.6,50.7,36,8,1.13,100.0
5732,110.0,49.5,48,6,0.56,100.0
5462,45.1,90.2,36,6,1.21,100.0
5380,104.8,28.2,36,8,0.39,100.0
4986,108.4,40.2,48,6,0.5,100.0
4762,53.3,88.0,48,10,0.41,100.0
4214,16.3,61.5,48,4,0.97,100.0
3024,86.9,59.6,12,6,0.99,100.0
1022,65.2,26.0,12,10,0.34,73.94
3849,22.0,33.5,36,8,1.49,100.0
3592,45.4,88.3,48,6,1.08,100.0
3348,14.7,119.3,36,6,1.17,100.0
686,117.4,66.3,48,10,0.94,93.96
2381,30.1,54.6,24,6,1.42,100.0
5908,50.6,96.6,12,6,0.55,100.0
1326,71.5,64.6,12,6,1.19,80.18
2279,90.6,97.6,18,8,0.58,100.0
5219,38.6,79.8,24,6,0.66,100.0
2310,49.9,47.5,48,6,1.05,100.0
3999,66.9,24.7,24,10,1.24,100.0
1722,36.3,38.4,48,10,0.59,100.0
2346,36.4,90.8,36,4,0.97,100.0
1598,46.9,45.5,24,4,1.41,100.0
3539,11.5,92.5,18,4,0.62,100.0
1096,23.0,96.2,48,6,0.88,100.0
3227,36.7,110.9,18,6,1.45,100.0
4423,109.8,89.6,18,10,1.4,100.0
5022,38.9,48.3,36,8,0.67,100.0
4317,12.3,118.1,36,8,1.4,100.0
3536,37.9,24.6,18,6,0.32,100.0
3920,35.8,39.6,18,10,0.98,100.0
2513,60.2,85.5,24,8,1.22,100.0
4518,55.6,93.3,24,6,0.47,100.0
4977,58.9,111.7,48,4,0.93,100.0
5974,6.3,20.6,18,6,0.38,100.0
1737,1.6,70.6,24,4,1.04,100.0
4458,79.3,21.6,48,10,0.31,100.0
4836,86.8,73.6,24,4,0.9,100.0
1968,13.3,29.6,18,6,0.53,100.0
4812,30.7,55.4,36,4,0.75,100.0
2350,36.3,102.8,12,4,0.41,100.0
3606,45.6,67.6,12,6,0.4,100.0
3213,68.1,105.8,12,4,0.58,100.0
5143,57.3,24.7,12,8,1.38,100.0
3076,2.4,40.7,18,10,1.41,93.81
2951,19.9,44.0,36,8,0.76,100.0
1142,60.3,117.4,12,4,0.82,81.52
1122,41.2,96.9,48,10,1.46,94.72
4190,59.1,55.6,36,10,0.52,100.0
5299,79.5,28.6,48,8,1.26,100.0
1763,45.9,98.4,18,10,0.68,80.86
1372,11.4,114.3,36,8,1.21,97.96
4030,54.1,75.5,36,4,0.33,100.0
3399,66.7,79.7,24,10,0.31,100.0
5083,108.7,117.8,48,6,1.12,100.0
1888,17.1,50.1,36,6,0.38,100.0
4466,94.0,56.1,18,10,1.01,100.0
2101,55.2,33.5,12,10,0.7,78.95
3199,53.1,63.1,48,6,0.66,100.0
5441,113.7,40.1,24,6,1.46,100.0
5684,59.2,77.6,18,8,0.75,100.0
3718,44.1,113.2,18,6,1.12,100.0
4281,113.2,41.0,24,4,1.28,100.0
3851,80.9,33.9,24,6,0.6,100.0
3588,9.3,119.1,36,10,0.94,100.0
3926,65.5,99.1,24,4,0.43,100.0
1862,77.8,24.4,36,8,1.46,100.0
4026,13.2,29.9,18,6,0.83,100.0
5321,83.0,35.1,12,10,0.43,100.0
3907,110.5,28.6,18,8,0.67,100.0
4456,42.1,29.8,36,8,0.38,100.0
866,97.3,31.5,24,4,1.11,100.0
2498,62.2,75.2,24,10,1.45,100.0
2399,95.8,83.0,18,10,0.77,98.76
4182,71.3,58.9,18,6,0.63,100.0
1012,69.5,100.0,48,6,0.74,100.0
5994,103.6,72.8,24,10,1.03,100.0
5308,14.2,55.2,36,6,1.28,100.0
5533,71.0,87.2,24,4,0.59,100.0
1458,22.4,89.3,48,10,0.8,100.0
2021,58.7,73.7,18,6,0.89,100.0
1649,22.9,104.2,48,4,1.34,100.0
2098,97.9,116.4,48,10,0.79,100.0
4528,50.2,104.0,36,6,0.4,100.0
2892,4.4,42.5,24,6,1.24,100.0
5133,89.2,96.6,48,4,0.99,100.0
3505,65.3,95.7,36,6,1.49,100.0
1338,88.5,85.4,18,8,1.35,86.12
1212,53.0,119.4,18,6,1.27,83.3
5316,82.9,106.1,48,10,0.5,100.0
2195,96.8,77.0,48,8,1.02,100.0
1879,39.2,90.4,24,8,1.44,94.68
1280,16.7,95.0,36,4,1.49,100.0
5873,15.7,106.6,18,6,1.15,100.0
3717,59.0,77.7,24,10,0.75,100.0
1118,76.2,108.0,12,10,0.92,69.43
3523,54.8,68.8,48,4,1.34,100.0
1263,87.8,65.8,24,4,1.25,100.0
2235,59.6,52.3,24,8,0.96,100.0
1569,68.2,68.5,24,4,0.36,100.0
633,15.3,105.8,36,10,0.3,68.43
4004,24.7,88.9,18,8,0.49,100.0
5862,43.6,28.2,18,4,0.78,100.0
3002,87.3,95.5,36,4,1.14,100.0
1587,71.4,71.9,36,4,0.31,100.0
3314,98.1,118.8,36,6,0.87,100.0
1339,12.8,56.8,24,6,0.76,96.21
1590,77.2,87.7,12,4,1.03,99.09
2245,75.6,35.1,36,10,1.33,100.0
1210,107.6,34.0,12,10,0.72,77.78
2529,33.6,28.4,48,8,1.23,100.0
719,101.8,85.8,24,6,0.92,84.75
2921,77.7,98.4,18,10,0.76,100.0
2474,60.2,79.4,48,4,1.48,100.0
5156,50.8,74.6,18,10,1.45,100.0
1097,2.5,26.8,24,6,0.35,91.63
4650,34.7,91.3,36,10,1.14,100.0
1175,77.0,73.8,18,8,0.4,87.1
1772,64.6,59.1,12,8,1.14,82.21
2454,7.4,28.6,36,4,0.84,100.0
5890,89.0,31.9,18,4,0.5,100.0
3340,63.0,98.3,24,6,0.75,100.0
1467,92.7,22.9,36,8,0.93,100.0
2654,85.6,77.7,12,10,0.85,87.26
5143,20.4,35.7,12,4,0.57,100.0
4668,0.8,105.9,12,6,0.36,100.0
1966,111.8,105.7,48,10,0.57,100.0
2533,50.2,92.0,24,4,0.99,100.0
931,21.9,100.4,12,10,0.38,63.71
4310,104.0,97.4,24,8,0.4,100.0
2888,67.9,50.4,48,6,0.86,100.0
5347,116.6,119.8,18,6,0.48,100.0
4936,41.9,104.0,12,8,0.3,100.0
5884,45.5,93.8,24,4,0.55,100.0
990,116.7,34.2,24,4,0.35,100.0
2396,107.7,72.0,24,10,1.47,100.0
1593,76.6,59.4,48,4,0.82,100.0
1570,28.8,46.1,24,10,1.14,84.43
2727,28.4,114.4,18,4,0.49,100.0
1846,54.2,51.4,12,8,1.46,79.49
2670,102.4,29.0,24,4,0.56,100.0
3185,18.2,91.1,24,10,0.92,100.0
1924,4.2,60.4,36,6,0.41,100.0
1334,96.6,34.0,12,4,1.3,97.68
3781,45.0,83.0,12,8,1.4,99.75
1114,3.1,26.4,36,6,0.41,100.0
1503,5.6,66.1,18,10,1.29,68.7
3735,59.8,58.3,36,6,0.72,100.0
4153,106.1,23.5,48,6,1.08,100.0
4586,49.7,75.1,12,4,0.64,100.0
4807,30.3,119.4,48,4,1.49,100.0
3441,57.8,98.1,24,8,0.77,100.0
2294,4.0,101.1,24,4,1.27,100.0
4364,63.8,96.7,18,6,0.42,100.0
958,91.8,114.8,48,10,0.73,97.79
1923,21.5,79.3,24,4,1.14,100.0
1664,67.8,38.8,36,8,0.51,100.0
810,11.3,43.3,18,4,0.93,85.07
2150,96.9,54.1,18,8,0.37,100.0
1710,70.6,111.7,12,8,1.45,74.55
3740,70.5,53.7,24,6,1.47,100.0
4078,95.1,116.1,24,6,1.15,100.0
5527,94.5,42.3,48,6,0.75,100.0
2912,15.7,92.9,48,10,1.32,100.0
1991,72.5,112.1,48,6,1.07,100.0
1352,112.4,34.1,12,6,0.72,90.07
1226,98.7,87.0,24,10,0.31,91.46
2217,30.3,26.8,24,4,1.16,100.0
3937,116.3,108.5,36,10,0.72,100.0
3574,12.6,67.9,48,6,0.5,100.0
2915,2.9,46.1,12,4,0.71,100.0
3575,19.7,27.5,12,8,1.01,96.1
753,52.0,85.4,48,10,0.49,85.97
1329,40.1,117.4,36,8,1.09,100.0
3718,68.8,104.0,18,4,0.73,100.0
4002,11.0,102.4,48,10,0.54,100.0
2890,117.3,67.4,12,8,1.24,100.0
4357,58.9,86.1,12,10,0.52,100.0
4151,5.8,64.0,24,6,1.3,100.0
5122,7.9,95.2,12,4,1.1,100.0
5331,27.7,26.1,36,10,1.46,100.0
4389,68.9,43.6,24,4,0.77,100.0
5179,108.1,100.0,48,6,0.44,100.0
4178,21.2,118.4,18,6,0.45,100.0
4066,24.6,102.3,18,8,0.68,100.0
1048,10.9,75.6,48,8,1.33,96.47
601,94.5,82.3,48,10,0.44,87.61
1725,18.2,78.8,12,4,0.98,94.1
4887,105.7,107.8,24,10,1.09,100.0
5186,73.3,23.7,24,10,0.47,100.0
817,47.8,107.9,18,4,1.19,81.93
2700,107.7,22.0,24,8,0.64,100.0
1304,116.7,42.8,24,10,1.23,92.93
3128,32.7,61.7,12,6,0.83,100.0
4468,91.3,106.7,12,6,0.38,100.0
4651,48.7,98.1,48,4,0.51,100.0
972,30.3,65.6,24,6,0.63,85.79
4302,60.9,83.5,12,4,0.59,100.0
4387,70.6,55.0,18,8,1.2,100.0
1240,34.6,58.7,18,6,1.33,82.38
2704,78.4,71.3,12,10,1.39,84.37
5803,21.2,100.1,18,8,1.03,100.0
5765,33.4,109.5,24,10,0.6,100.0
4323,36.6,72.1,48,10,1.0,100.0
3565,67.6,79.4,24,8,1.12,100.0
4446,8.1,118.8,24,8,0.61,100.0
2947,23.0,71.7,18,4,1.27,100.0
5415,48.8,52.0,18,4,1.09,100.0
3928,48.8,93.7,48,6,0.71,100.0
2321,82.5,83.8,36,8,0.91,100.0
5073,22.1,29.8,18,8,1.17,100.0
5079,91.7,38.3,24,4,0.57,100.0
3944,94.7,53.1,24,8,0.86,100.0
1464,56.7,106.6,48,4,0.87,100.0
3626,63.8,61.3,18,6,1.49,100.0
3307,49.4,76.9,36,6,0.68,100.0
4494,40.2,118.7,24,4,0.31,100.0
2740,25.5,97.4,48,6,0.89,100.0
5533,52.3,62.9,36,10,0.76,100.0
809,64.3,93.1,12,8,1.21,66.59
533,75.4,44.9,24,8,0.45,76.6
3642,60.6,50.6,12,4,0.66,100.0
5385,63.1,63.4,18,8,1.5,100.0
4515,43.4,38.8,36,4,0.57,100.0
679,71.0,36.9,24,4,0.75,94.38
5745,31.1,73.5,12,4,1.09,100.0
1448,50.3,58.0,48,8,0.87,100.0
1754,25.1,88.6,12,8,0.81,75.39
5601,72.9,33.7,12,4,0.64,100.0
1370,60.0,80.9,24,6,0.73,100.0
4990,59.8,40.8,36,8,0.58,100.0
604,80.8,110.7,48,10,0.48,86.01
1329,108.6,84.4,36,8,0.62,100.0
910,12.4,37.5,12,8,0.73,63.93
1449,11.9,95.8,12,4,1.32,82.04
5934,77.8,52.9,36,8,1.35,100.0
1998,14.1,60.0,36,8,1.3,100.0
4417,96.1,84.9,18,4,0.46,100.0
1805,12.9,111.1,36,10,0.52,98.67
3610,93.6,81.1,18,10,1.4,100.0
876,8.1,85.5,12,6,1.47,63.09
5987,104.8,71.9,48,4,0.82,100.0
5937,81.3,58.5,48,4,0.31,100.0
1785,60.9,66.9,36,6,0.39,100.0
2778,6.5,42.3,36,10,1.28,100.0
1145,55.4,100.1,36,4,1.33,100.0
4574,89.6,21.8,36,10,0.34,100.0
4998,0.5,29.1,48,8,1.37,100.0
4237,114.1,56.3,12,6,1.31,100.0
3219,67.4,82.0,36,8,1.16,100.0
2316,0.8,55.5,24,8,1.14,100.0
875,107.7,69.2,36,4,0.61,100.0
3718,26.3,102.5,18,8,0.43,100.0
3895,6.1,83.3,48,4,1.23,100.0
4630,16.6,69.9,48,4,0.96,100.0
4045,100.7,68.3,48,6,1.13,100.0
1348,46.8,80.1,24,10,0.8,84.98
5488,110.0,96.2,24,10,1.46,100.0
1592,17.0,80.3,48,8,1.31,100.0
4987,103.4,91.2,48,6,0.54,100.0
3328,110.6,33.3,18,8,1.15,100.0
3385,67.7,78.3,36,8,1.35,100.0
1372,3.5,34.5,12,6,0.62,74.96
1818,118.0,88.3,18,4,1.13,100.0
764,43.4,65.3,48,6,1.19,100.0
5097,47.0,71.1,24,4,1.41,100.0
3061,115.9,25.4,24,6,1.04,100.0
4129,99.7,111.1,24,6,1.23,100.0
1953,118.0,27.4,18,4,0.75,100.0
4010,33.9,46.4,18,8,0.31,100.0
827,18.9,52.3,12,8,0.89,64.07
5191,66.2,27.3,24,6,1.45,100.0
1805,50.2,73.7,12,8,0.57,79.69
2247,79.8,53.1,24,6,1.44,100.0
5098,98.9,118.1,12,4,1.1,100.0
4150,29.2,84.2,48,6,1.45,100.0
1428,46.6,74.0,24,4,1.39,100.0
3571,62.0,70.9,36,4,0.66,100.0
1174,113.8,36.7,48,4,1.05,100.0
2226,80.6,97.4,36,4,0.55,100.0
4065,77.8,114.0,18,4,0.85,100.0
3217,5.0,27.3,18,8,0.97,100.0
2618,49.2,65.1,36,10,0.68,100.0
3690,81.0,73.5,48,4,1.21,100.0
1094,43.2,70.3,24,8,1.03,80.81
2806,92.0,63.8,36,4,0.87,100.0
3703,95.7,104.9,24,6,0.66,100.0
5807,45.1,114.9,48,6,0.45,100.0
4900,65.9,28.5,18,8,0.55,100.0
5791,102.2,34.2,18,6,1.04,100.0
5996,96.1,105.2,48,10,1.07,100.0
1099,35.2,26.7,12,6,1.17,72.46
1550,80.7,43.5,24,4,1.38,100.0
3103,58.6,52.8,24,6,0.98,100.0
4008,20.7,51.3,18,10,0.63,100.0
3444,16.5,93.3,36,10,0.83,100.0
1391,21.5,80.7,24,6,1.37,93.53
2109,32.0,108.6,12,4,1.37,100.0
5266,69.7,96.9,18,4,0.96,100.0
4952,107.3,74.0,18,8,0.77,100.0
2883,16.5,70.1,12,10,0.74,79.19
586,79.7,104.8,48,6,1.21,96.94
5139,113.9,85.9,18,10,1.43,100.0
831,26.6,68.8,12,8,0.74,65.23
3459,46.9,111.8,12,4,1.48,100.0
3154,12.8,116.8,24,8,0.99,100.0
3600,44.2,85.3,12,8,0.75,99.05
2325,62.2,55.3,24,10,1.25,100.0
1638,53.1,43.0,48,8,0.55,100.0
2031,19.3,80.2,12,6,0.8,84.59
4422,57.7,79.1,36,4,0.59,100.0
1547,69.0,36.1,48,4,1.37,100.0
1974,62.2,60.5,48,4,1.35,100.0
5921,98.6,114.7,18,10,1.03,100.0
2297,99.7,80.1,48,6,1.05,100.0
4684,32.1,92.4,24,10,1.02,100.0
1583,13.5,40.2,48,10,1.29,100.0
5460,12.0,67.6,48,4,1.35,100.0
1263,58.1,33.0,48,4,1.38,100.0
5818,52.1,62.1,12,10,0.58,100.0
3623,42.4,100.5,48,4,0.81,100.0
2585,57.5,43.3,12,8,1.02,89.49
544,85.2,98.9,48,4,0.92,100.0
3572,78.7,88.8,24,10,0.73,100.0
2577,31.7,73.6,48,8,1.03,100.0
3755,90.7,61.3,48,10,0.51,100.0
3012,69.5,97.4,36,6,1.33,100.0
5900,14.7,43.0,18,4,0.56,100.0
5010,73.9,88.5,12,6,0.77,100.0
5709,1.1,29.1,18,10,1.41,100.0
2316,44.8,80.9,36,10,1.04,100.0
4768,34.7,116.4,12,6,1.07,100.0
5881,111.7,71.8,18,4,1.24,100.0
